"Speaker","F1_DRESS","F2_DRESS","F1_FLEECE","F2_FLEECE","F1_GOOSE","F2_GOOSE","F1_KIT","F2_KIT","F1_LOT","F2_LOT","F1_NURSE","F2_NURSE","F1_START","F2_START","F1_STRUT","F2_STRUT","F1_THOUGHT","F2_THOUGHT","F1_TRAP","F2_TRAP"
"CC_f_007",0.0746349912095648,0.0845697201318938,-0.104080929237795,0.0748546158625187,-0.0296252072982649,-0.00942958739787618,0.0190768629303441,-0.0110869293694964,0.105823516845141,-0.0319249461952104,0.0963380998369928,0.0614736718031658,-0.000646093317571963,-0.0220098910892294,0.00120645047108951,-0.0468556086303241,-0.304060773894545,-0.0506928483252359,0.0190117077109683,-0.0735254633081635
"CC_f_010",0.10732263991004,-0.154826519620436,-0.356916657932217,0.419213707197149,-0.0690803181703505,0.0670481231830719,-0.153032579281908,0.010717446687208,0.207052213878337,0.107905231716217,0.173470530237609,-0.267864402980055,-0.0179253232047794,-0.147668672385413,-0.215910633116034,0.0634756719959085,0.213974752313284,0.0291709600562677,0.237740754558238,-0.209854864730016
"CC_f_020",0.265987113023012,-0.106178867131217,-0.0610979612514331,-0.295677234303243,0.0211661220354509,0.21910183370149,0.156376158758323,0.188916590174374,-0.0558190424697009,0.096190883801116,-0.116408578031285,0.191205299723998,0.0152684022955199,0.217391908108917,0.09014498749356,0.15044875457014,-0.0161188044372524,-0.357089030910294,-0.320563260798722,-0.267818647031272
"CC_f_024",0.0448672869485022,-0.211655030810634,0.106414765031221,0.0281783961619935,-0.0890556505277086,0.0784296779750129,0.0114122633462458,0.0258431331599119,-0.0259339153044121,-0.105940189611493,0.121988845947091,0.0676051674526915,0.00901755223316371,-0.0694228879530393,0.069099995529623,0.00928893084663738,-0.00063102080690771,0.00876510944041991,-0.209726270158379,-0.0101418306655064
"CC_f_025",-0.0450322647631631,-0.146957864744244,-0.005840040512685,-0.249215397399386,0.0240159094692989,-0.1524198448226,-0.0292105830960532,0.259534151650513,-0.0206603839395694,0.208440273458905,-0.164749601454,0.221481509987309,-0.0552763228273629,0.306277369767461,0.198199278578802,0.339954012788362,0.227049658830296,-0.294719101188733,-0.20733763233705,0.0930626996755107
"CC_f_027",-0.0820136642884599,-0.618523655868772,-0.0151448004038862,-0.833564219257795,0.121058984142272,0.276788005115725,0.285114193159551,0.164267727451933,-0.012486947190516,0.0084846459389944,0.0153582396426852,0.377226245473939,-0.00627967835612185,0.154687859142266,0.00849379897110146,0.185054207218388,-0.269062835333296,-0.0140540272624048,0.0747043145597032,0.10217881777181
"CC_f_033",-0.0110267421061067,0.148574036625298,-0.0846741028109314,0.0979559947797967,0.0290211055623183,-0.0996878570812126,-0.127973318606371,0.153331072534505,0.133716684979077,0.204847378735646,0.0673778674158626,-0.312624854052229,0.0233102755458358,-0.0644526638974163,-0.10475838065445,-0.0133134605010828,-0.0566144993128532,-0.082784271120323,0.182480378882827,-0.0738944932527251
"CC_f_040",-0.0117604518210105,0.0677307279918898,0.103419623095446,-0.0902596410880465,0.0382202759123935,0.0805636097709124,0.25630713284718,0.0293073824837599,0.0558480216590738,0.100151189235995,-0.237135543946153,0.177345243622939,-0.110016131162001,-0.073228769972776,0.192486102405745,0.0647894343298837,-0.0900149474040697,-0.216824067858945,-0.102025431329774,-0.0261536637923366
"CC_f_051",-0.034707095583516,0.123596411400576,-0.032389891527219,0.0556317371331423,-0.00557406687804278,0.0252702292751429,0.231161244782259,-0.141477796608119,0.135485365198889,-0.0264562929929897,-0.0584624871102943,-0.301684005736439,-0.0640414149520437,-0.0362601372230937,0.0163763408494311,-0.0508079395426599,-0.0533091551682177,-0.0761917052451834,0.0477276224523223,0.0517428654267744
"CC_f_052",-0.109883018070702,0.0264895094824283,-0.055473050048076,0.157934213371502,-0.0940053362539099,-0.135191756841736,-0.0331894203652786,-0.0302964215048854,0.185190701227682,-0.196401468706111,0.0290635715267881,-0.124148809366172,-0.0300857914500018,-0.280613226769669,0.012938850593884,-0.158117252341932,0.269752912303009,0.445533067241589,-0.191360928009673,0.0555293858273418
"CC_f_054",0.00515857197385157,-0.415391406832444,-0.00479411075862423,-0.665535063362065,-0.0276927280551766,0.173946190345488,0.0780432872832565,0.309973270876977,0.0280444742303577,0.156973377132333,0.0450297469214374,0.430196342758032,-0.0304946392401775,0.512942243581771,-0.0030455917805989,0.499544069457099,-0.307309280970384,-0.634487819040313,0.111152938181755,-0.189863157718683
